"Subject","Session","Measure","Explaination"
"T067","RestingBaseline","ALL","Stopped halfway through"
"T067","BaselineWriting","ALL","Stopped halfway through"
"T067","StressCondition","ALL","Stopped halfway through"
"T067","DualTask","ALL","Stopped halfway through"
"T067","Presentation","ALL","Stopped halfway through"
"T005","RestingBaseline","HR","HR Confidence"
"T005","BaselineWriting","HR","HR Confidence"
"T005","StressCondition","HR","HR Confidence"
"T005","DualTask","HR","HR Confidence"
"T005","Presentation","HR","HR Confidence"
"T009","RestingBaseline","HR","HR Confidence"
"T009","BaselineWriting","HR","HR Confidence"
"T009","StressCondition","HR","HR Confidence"
"T009","DualTask","HR","HR Confidence"
"T009","Presentation","HR","HR Confidence"
"T031","Presentation","HR","HR Confidence"
"T108","RestingBaseline","HR","HR Confidence"
"T108","BaselineWriting","HR","HR Confidence"
"T108","StressCondition","HR","HR Confidence"
"T108","DualTask","HR","HR Confidence"
"T108","Presentation","HR","HR Confidence"
"T126","RestingBaseline","HR","HR Confidence"
"T126","BaselineWriting","HR","HR Confidence"
"T126","StressCondition","HR","HR Confidence"
"T126","DualTask","HR","HR Confidence"
"T126","Presentation","HR","HR Confidence"
"T128","StressCondition","HR","HR Confidence"
"T128","Presentation","HR","HR Confidence"
"T130","RestingBaseline","HR","HR Confidence"
"T130","BaselineWriting","HR","HR Confidence"
"T130","StressCondition","HR","HR Confidence"
"T130","DualTask","HR","HR Confidence"
"T130","Presentation","HR","HR Confidence"
"T136","Presentation","HR","HR Confidence"
"T154","Presentation","HR","HR Confidence"
"T160","Presentation","HR","HR Confidence"
"T173","Presentation","HR","HR Confidence"
"T176","Presentation","HR","HR Confidence"
"T178","RestingBaseline","HR","HR Confidence"
"T178","BaselineWriting","HR","HR Confidence"
"T178","StressCondition","HR","HR Confidence"
"T178","DualTask","HR","HR Confidence"
"T178","Presentation","HR","HR Confidence"
